subject,exp_num,RT,p,modality
32,5,1301,0.5,ED_d
32,5,1278,0.6,ED_d
32,5,1189.5,0.7,ED_d
32,5,1208.5,0.8,ED_d
32,5,1036,0.9,ED_d
32,5,1118,1,ED_d
32,5,1311,0.1,ED_e
32,5,NaN,0.1,EE
32,5,1115,0.2,ED_e
32,5,2293.5,0.2,EE
32,5,1131,0.3,ED_e
32,5,2449.5,0.3,EE
32,5,1113,0.4,ED_e
32,5,2461.5,0.4,EE
32,5,1182,0.6,ED_e
32,5,1787.5,0.6,EE
32,5,1187,0.7,ED_e
32,5,1986,0.7,EE
32,5,1190,0.8,ED_e
32,5,1874,0.8,EE
32,5,1063,0.9,ED_e
32,5,1300.5,0.9,EE
33,5,994.5,0,ED_d
33,5,1147.5,0.1,ED_d
33,5,1085,0.2,ED_d
33,5,1311,0.3,ED_d
33,5,1324.5,0.4,ED_d
33,5,1369.5,0.5,ED_d
33,5,1179.5,0.6,ED_d
33,5,1117.5,0.7,ED_d
33,5,1654,0.8,ED_d
33,5,1091,0.9,ED_d
33,5,1033.5,1,ED_d
33,5,1270,0.1,ED_e
33,5,1795,0.1,EE
33,5,1211,0.2,ED_e
33,5,1218,0.2,EE
33,5,1228,0.3,ED_e
33,5,1816,0.3,EE
33,5,948,0.4,ED_e
33,5,NaN,0.4,EE
33,5,992,0.6,ED_e
33,5,2002,0.6,EE
33,5,1121,0.7,ED_e
33,5,1062,0.7,EE
33,5,1097,0.8,ED_e
33,5,1250.5,0.8,EE
33,5,1666,0.9,ED_e
